transcript_id,interview_id,turn_number,speaker,text,timestamp_seconds,language,created_at
1,P1,1,Interviewer,ปกติคุณใช้แบรนด์น้ำยาล้างจานอะไรอยู่คะตอนนี้?,,th,2025-12-12T18:56:17.715465
2,P1,2,Respondent,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,,th,2025-12-12T18:56:17.715465
3,P1,3,Interviewer,แล้วรู้สึกแตกต่างยังไงบ้างเวลาลองใช้แต่ละแบรนด์?,,th,2025-12-12T18:56:27.991024
4,P1,4,Respondent,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,,th,2025-12-12T18:56:27.991024
5,P1,5,Interviewer,คุณล้างจานบ่อยไหมคะในแต่ละวัน?,,th,2025-12-12T18:56:37.521483
6,P1,6,Respondent,ไม่บ่อยค่ะ เพราะอยู่คนเดียว ทำกับข้าวสัปดาห์ละ 2-3 ครั้งเอง ส่วนใหญ่เป็นจานแก้วกับช้อนส้อม ไม่ได้เลอะมาก,,th,2025-12-12T18:56:37.521483
7,P1,7,Interviewer,แสดงว่าเรื่อง “ขจัดคราบมัน” อาจไม่ใช่สิ่งที่ต้องการที่สุด?,,th,2025-12-12T18:56:39.112907
8,P1,8,Respondent,ใช่ค่ะ อยากได้กลิ่นหอมมากกว่า เพราะจานมันไม่ค่อยมันเท่าไหร่ อยากให้ล้างแล้วกลิ่นสะอาด เหมือนห้องครัวหอมขึ้น,,th,2025-12-12T18:56:39.112907
9,P1,9,Interviewer,แล้วเวลาล้างคุณให้ความสำคัญกับเรื่องอะไรบ้างคะ?,,th,2025-12-12T18:56:46.259725
10,P1,10,Respondent,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,,th,2025-12-12T18:56:46.259725
11,P1,11,Interviewer,แล้วเคยรู้สึกว่ามือแห้งหรือแสบหลังล้างไหมคะ?,,th,2025-12-12T18:56:55.409743
12,P1,12,Respondent,เคยค่ะ บางสูตรของแบรนด์อื่นถ้าแรงไปจะรู้สึกมือแห้ง แต่ Sunlight สูตรมะนาวรู้สึกโอเค,,th,2025-12-12T18:56:55.409743
13,P1,13,Interviewer,เวลาซื้อเลือกยังไงคะ ดูจากอะไรเป็นหลัก?,,th,2025-12-12T18:57:02.605941
14,P1,14,Respondent,กลิ่นก่อนเลยค่ะ แล้วก็ดูว่าขวดขนาดกลางหรือเล็ก พกง่าย เก็บง่าย เพราะพื้นที่ซิงค์เล็ก,,th,2025-12-12T18:57:02.605941
15,P1,15,Interviewer,แล้วดูยี่ห้อด้วยไหมคะ?,,th,2025-12-12T18:57:08.702838
16,P1,16,Respondent,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,,th,2025-12-12T18:57:08.702838
17,P1,17,Interviewer,แล้วถ้ามีแบรนด์ใหม่ที่บอกว่าเป็นสูตรธรรมชาติ ไม่มีสารตกค้าง คุณสนใจไหม?,,th,2025-12-12T18:57:14.447470
18,P1,18,Respondent,สนใจนะคะ แต่ต้องกลิ่นไม่เหม็นเขียว แล้วต้องไม่รู้สึกว่าล้างไม่สะอาด บางสูตรธรรมชาติมันลื่นๆ เหมือนล้างไม่หมด,,th,2025-12-12T18:57:14.447470
19,P1,19,Interviewer,แล้วตอนเห็นโฆษณา Sunlight หรือ LiponF คุณจำอะไรได้บ้างไหมคะ?,,th,2025-12-12T18:57:23.296299
20,P1,20,Respondent,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบรนด์เก่าแก่,,th,2025-12-12T18:57:23.296299
21,P1,21,Interviewer,แล้วภาพในใจของคุณต่อแต่ละแบรนด์เป็นยังไง?,,th,2025-12-12T18:57:31.787709
22,P1,22,Respondent,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,,th,2025-12-12T18:57:31.787709
23,P1,23,Interviewer,แล้วเวลาคิดถึงคำว่า “คุ้มค่า” สำหรับคุณคืออะไรคะ?,,th,2025-12-12T18:57:41.493941
24,P1,24,Respondent,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,,th,2025-12-12T18:57:41.493941
25,P1,25,Interviewer,ถ้าราคาทั้งสองแบรนด์เท่ากัน คุณจะเลือกแบรนด์ไหน?,,th,2025-12-12T18:57:47.710918
26,P1,26,Respondent,Sunlight ค่ะ เพราะชอบกลิ่นและล้างออกง่ายกว่า,,th,2025-12-12T18:57:47.710918
27,P1,27,Interviewer,แล้วมีอะไรที่อยากให้แบรนด์ปรับปรุงไหมคะ?,,th,2025-12-12T18:57:52.475674
28,P1,28,Respondent,อยากให้ขวดแบบหัวปั๊มมีขายในไซซ์กลางๆ มากกว่านี้ เพราะพกง่ายดี ไม่ชอบต้องเทจากขวดใหญ่,,th,2025-12-12T18:57:52.475674
29,P1,29,Interviewer,ถ้าคุณต้องออกแบบน้ำยาล้างจานในอุดมคติของตัวเอง จะเป็นยังไงคะ?,,th,2025-12-12T18:57:59.842887
30,P1,30,Respondent,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,,th,2025-12-12T18:57:59.842887
31,P1,31,Interviewer,แล้วถ้ามีแบรนด์ที่ล้างคราบดีมาก แต่กลิ่นไม่ชอบ คุณจะยอมใช้ไหม?,,th,2025-12-12T18:58:11.874621
32,P1,32,Respondent,ไม่ค่ะ กลิ่นสำคัญมาก ถ้าไม่ชอบจะรู้สึกเหม็นไปทั้งห้องเลย,,th,2025-12-12T18:58:11.874621
33,P1,33,Interviewer,ขอบคุณมากเลยค่ะสำหรับการแชร์ประสบการณ์ มีอะไรอยากฝากถึงแบรนด์ไหมคะ?,,th,2025-12-12T18:58:15.648973
34,P1,34,Respondent,อยากให้เน้นเรื่องกลิ่นและแพ็กเกจจิ้งให้เหมาะกับคนอยู่คอนโด เพราะกลุ่มนี้มีเยอะขึ้นค่ะ,,th,2025-12-12T18:58:15.648973
35,P2,1,Interviewer,ปกติที่บ้านใช้ยี่ห้อน้ำยาล้างจานอะไรอยู่คะ?,,th,2025-12-12T18:58:21.821649
36,P2,2,Respondent,ใช้ LiponF ค่ะ แล้วบางทีก็สลับกับ Sunlight สูตรธรรมชาติ เพราะลูกยังเล็ก เลยกลัวพวกสารเคมีแรงๆ,,th,2025-12-12T18:58:21.821649
37,P2,3,Interviewer,ทำไมถึงเลือกสองแบรนด์นี้คะ?,,th,2025-12-12T18:58:28.300565
38,P2,4,Respondent,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,,th,2025-12-12T18:58:28.300565
39,P2,5,Interviewer,แล้วเวลาล้างจาน คุณให้ความสำคัญกับเรื่องไหนเป็นพิเศษ?,,th,2025-12-12T18:58:38.240848
40,P2,6,Respondent,มือไม่แห้งกับกลิ่นค่ะ เพราะล้างทุกวัน วันละหลายรอบ แล้วก็ไม่อยากให้มีกลิ่นติดจาน ลูกชอบเอามือเข้าปาก,,th,2025-12-12T18:58:38.240848
41,P2,7,Interviewer,แล้วมีเคยลองแบรนด์อื่นไหม?,,th,2025-12-12T18:58:45.739141
42,P2,8,Respondent,เคยค่ะ แต่บางตัวล้างแล้วจานยังลื่น หรือกลิ่นติดแรงมาก ไม่มั่นใจเลยว่าจะปลอดภัยกับลูกหรือเปล่า,,th,2025-12-12T18:58:45.739141
43,P2,9,Interviewer,แล้วเวลาเลือกซื้อที่ห้างหรือออนไลน์ คุณดูอะไรเป็นหลักคะ?,,th,2025-12-12T18:58:52.105414
44,P2,10,Respondent,ดูคำว่า “อ่อนโยน” หรือ “ไม่มีสารตกค้าง” ก่อนเลย แล้วถึงจะดูราคา,,th,2025-12-12T18:58:52.105414
45,P2,11,Interviewer,ถ้าต้องเลือกแบรนด์ที่ล้างคราบมันออกดีมากๆ แต่แรงหน่อย กับแบรนด์ที่อ่อนโยนแต่ต้องล้างสองรอบ คุณเลือกอะไรคะ?,,th,2025-12-12T18:59:01.853091
46,P2,12,Respondent,ขอแบบอ่อนโยนดีกว่าค่ะ เพราะกลัวเรื่องสารตกค้าง ถึงจะต้องล้างสองรอบก็ไม่เป็นไร,,th,2025-12-12T18:59:01.853091
47,P2,13,Interviewer,แล้วคิดว่า LiponF กับ Sunlight ต่างกันยังไงในภาพจำของคุณ?,,th,2025-12-12T18:59:07.039119
48,P2,14,Respondent,LiponF คือเข้มข้น ล้างสะอาดดี แต่ฟังดูเหมือนเหมาะกับบ้านที่ล้างเยอะๆ ส่วน Sunlight ดูอ่อนโยนกว่า ภาพลักษณ์ดูสากลกว่า,,th,2025-12-12T18:59:07.039119
49,P2,15,Interviewer,แล้วคุณเคยรู้สึกว่ากลิ่นของน้ำยามีผลต่อการเลือกไหม?,,th,2025-12-12T18:59:16.577802
50,P2,16,Respondent,มีค่ะ กลิ่นแรงเกินจะรู้สึกว่าไม่ปลอดภัย โดยเฉพาะเวลาล้างขวดนมเด็ก,,th,2025-12-12T18:59:16.577802
51,P2,17,Interviewer,แล้วพวกฟองล่ะคะ มีผลกับการรู้สึกว่าสะอาดไหม?,,th,2025-12-12T18:59:22.834415
52,P2,18,Respondent,ถ้ามีฟองนิดๆ จะรู้สึกว่าสะอาด แต่ถ้าฟองเยอะเกินไปจะไม่ชอบ เพราะต้องล้างน้ำนาน,,th,2025-12-12T18:59:22.834415
53,P2,19,Interviewer,ถ้ามีสูตรที่ล้างมันดีเหมือน LiponF แต่เขียนว่า “ปลอดภัยสำหรับเด็ก” คุณคิดว่าน่าสนใจไหม?,,th,2025-12-12T18:59:29.090795
54,P2,20,Respondent,สนใจมากเลยค่ะ เพราะจะได้ไม่ต้องมีสองขวด ใช้ขวดเดียวล้างได้ทั้งของผู้ใหญ่กับของลูก,,th,2025-12-12T18:59:29.090795
55,P2,21,Interviewer,แล้วตอนนี้เลือกซื้อที่ไหนบ่อยสุดคะ?,,th,2025-12-12T18:59:34.736844
56,P2,22,Respondent,ใน Lotus หรือ Shopee ค่ะ แล้วแต่โปร บางทีก็ซื้อยกลังเก็บไว้เลย,,th,2025-12-12T18:59:34.736844
57,P2,23,Interviewer,ถ้าให้คะแนนความพึงพอใจของแบรนด์ที่ใช้อยู่ตอนนี้ เต็ม 10 ให้เท่าไหร่คะ?,,th,2025-12-12T18:59:41.232250
58,P2,24,Respondent,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,,th,2025-12-12T18:59:41.232250
59,P2,25,Interviewer,แล้วถ้ามีเพื่อนมาถามว่า “ใช้แบรนด์ไหนล้างขวดนมลูกดี?” คุณจะตอบว่าอะไร?,,th,2025-12-12T18:59:51.082544
60,P2,26,Respondent,แนะนำ Sunlight สูตรธรรมชาติค่ะ เพราะล้างออกง่าย กลิ่นไม่แรง รู้สึกปลอดภัยกว่า,,th,2025-12-12T18:59:51.082544
61,P3,1,Interviewer,ปกติคุณล้างจานเองบ่อยไหมคะ?,,th,2025-12-12T18:59:58.760817
62,P3,2,Respondent,บ่อยครับ หลังอาหารเย็นส่วนใหญ่จะเป็นผมล้างเอง เพราะอยากช่วยภรรยา,,th,2025-12-12T18:59:58.760817
63,P3,3,Interviewer,แล้วที่บ้านใช้ยี่ห้อน้ำยาล้างจานอะไรอยู่ครับ?,,th,2025-12-12T19:00:00.401834
64,P3,4,Respondent,ตอนนี้ใช้ LiponF ครับ เคยใช้ Sunlight มาก่อนแต่เปลี่ยนเพราะรู้สึกว่า LiponF เข้มข้นกว่า ใช้น้อยแต่ล้างได้เยอะ,,th,2025-12-12T19:00:00.401834
65,P3,5,Interviewer,ถ้าให้เล่าวิธีเลือกซื้อ คุณดูจากอะไรเป็นหลักครับ?,,th,2025-12-12T19:00:07.228659
66,P3,6,Respondent,ผมดูเรื่อง “คุ้มค่า” ก่อนเลยครับ หมายถึงใช้แล้วล้างได้หลายรอบ ไม่ต้องบีบเยอะ แล้วก็ต้องล้างคราบมันได้จริง,,th,2025-12-12T19:00:07.228659
67,P3,7,Interviewer,แล้วเคยรู้สึกต่างกันไหมระหว่างสองแบรนด์นี้?,,th,2025-12-12T19:00:15.506783
68,P3,8,Respondent,ต่างครับ Sunlight กลิ่นหอมกว่า ล้างออกง่ายกว่า แต่ LiponF รู้สึกว่าล้างมันออกสะอาดกว่า โดยเฉพาะตอนล้างกระทะ,,th,2025-12-12T19:00:15.506783
69,P3,9,Interviewer,แล้วถ้าให้เลือกระหว่าง “ล้างมันดีแต่ต้องใช้น้ำเยอะ” กับ “ล้างออกง่ายแต่ต้องบีบเยอะ” จะเลือกแบบไหนครับ?,,th,2025-12-12T19:00:24.956179
70,P3,10,Respondent,ผมเลือกแบบล้างมันดีดีกว่า เพราะสุดท้ายถ้ามันยังมันอยู่ต้องล้างใหม่อีกรอบ เสียเวลา,,th,2025-12-12T19:00:24.956179
71,P3,11,Interviewer,แล้วเรื่องฟองมีผลไหมครับ?,,th,2025-12-12T19:00:31.322790
72,P3,12,Respondent,ผมชอบฟองเยอะพอดีครับ ฟองเยอะไปก็เปลืองน้ำ ฟองน้อยไปก็ไม่รู้สึกว่าสะอาด,,th,2025-12-12T19:00:31.322790
73,P3,13,Interviewer,แล้วคุณเคยมีปัญหาเรื่องมือแห้งหรือแพ้ไหมครับ?,,th,2025-12-12T19:00:37.558623
74,P3,14,Respondent,ไม่ค่อยครับ มือผู้ชายน่าจะทนกว่า ฮ่าๆ ภรรยาเคยบ่นเรื่องมือแห้ง แต่ผมไม่รู้สึก,,th,2025-12-12T19:00:37.558623
75,P3,15,Interviewer,แล้วถ้ามีแบรนด์ใหม่ที่โฆษณาว่า “ขจัดคราบมันได้ไวกว่าเดิม 50%” คุณจะสนใจไหม?,,th,2025-12-12T19:00:44.246175
76,P3,16,Respondent,สนใจครับ แต่ต้องดูราคาด้วย ถ้าแพงกว่ามากคงไม่เปลี่ยน เพราะของเดิมก็ใช้ได้ดีอยู่แล้ว,,th,2025-12-12T19:00:44.246175
77,P3,17,Interviewer,แล้วเวลาคิดถึงแบรนด์ LiponF คุณรู้สึกยังไงครับ?,,th,2025-12-12T19:00:48.191040
78,P3,18,Respondent,รู้สึกว่ามันเป็นของคนไทย ใช้มานาน เชื่อถือได้ ไม่ต้องคิดเยอะ ซื้อได้เลย,,th,2025-12-12T19:00:48.191040
79,P3,19,Interviewer,แล้ว Sunlight ล่ะครับ?,,th,2025-12-12T19:00:53.555574
80,P3,20,Respondent,ดูทันสมัยกว่า เหมาะกับคนเมือง แต่ผมรู้สึกว่ามันเบาไปหน่อยสำหรับของทอด,,th,2025-12-12T19:00:53.555574
81,P3,21,Interviewer,แล้วตอนเห็นโฆษณาทั้งสองแบรนด์ คุณจำอะไรได้ไหมครับ?,,th,2025-12-12T19:01:00.060623
82,P3,22,Respondent,Sunlight จะจำเรื่องเลมอน เรื่องความหอม ส่วน LiponF จะเป็นเรื่อง “ล้างคราบมันหมดจด” เหมือนภาพที่เทน้ำแล้วคราบหลุดเลย,,th,2025-12-12T19:01:00.060623
83,P3,23,Interviewer,แล้วตอนซื้อ คุณเลือกซื้อจากที่ไหนครับ?,,th,2025-12-12T19:01:09.641317
84,P3,24,Respondent,ซื้อจากห้าง Makro ครับ ยกลังไว้เลย เพราะถูกกว่าเยอะ,,th,2025-12-12T19:01:09.641317
85,P3,25,Interviewer,ถ้ามีขวดรีฟิลใหญ่ที่ประหยัดกว่าขวดปกติ คุณเลือกไหมครับ?,,th,2025-12-12T19:01:17.137820
86,P3,26,Respondent,เลือกครับ ของใช้แบบนี้ไม่เน้นแพ็กเกจ ขอแค่ล้างดีและคุ้มพอ,,th,2025-12-12T19:01:17.137820
87,P3,27,Interviewer,ถ้ามีสูตรใหม่ที่อ่อนโยนต่อมือแต่ราคาสูงขึ้น คุณจะลองไหมครับ?,,th,2025-12-12T19:01:25.717277
88,P3,28,Respondent,คงไม่ครับ ผมไม่ได้ซีเรียสเรื่องมือเท่าไหร่ เอาแบบเดิมดีกว่า ประสิทธิภาพสำคัญกว่า,,th,2025-12-12T19:01:25.717277
89,P3,29,Interviewer,แล้วถ้ามีโอกาสให้คุณออกแบบน้ำยาล้างจานเอง คุณอยากให้มันเป็นยังไงครับ?,,th,2025-12-12T19:01:33.443796
90,P3,30,Respondent,อยากให้เข้มข้นแต่ล้างออกง่าย กลิ่นอ่อนๆ ไม่ต้องแรงมาก แล้วก็มีหัวปั๊ม จะได้ใช้สะดวกเวลามือเปียก,,th,2025-12-12T19:01:33.443796
91,P3,31,Interviewer,สรุปถ้ามีคนถามว่า “น้ำยาล้างจานที่คุ้มค่าที่สุดในใจคุณคืออะไร” คุณจะตอบว่าอะไรครับ?,,th,2025-12-12T19:01:45.397429
92,P3,32,Respondent,LiponF ครับ ใช้น้อย ล้างมันดี แล้วขวดใหญ่ราคาถูกกว่าแบรนด์อื่น,,th,2025-12-12T19:01:45.397429
93,P4,1,Interviewer,ปกติที่หอใช้ยี่ห้อน้ำยาล้างจานอะไรอยู่คะ?,,th,2025-12-12T19:01:54.014524
94,P4,2,Respondent,ส่วนใหญ่ใช้ Sunlight ค่ะ เพราะซื้อใน 7-11 ได้ง่ายดี แล้วบางทีก็ซื้อตาม Shopee ถ้ามีโปร,,th,2025-12-12T19:01:54.014524
95,P4,3,Interviewer,ทำไมถึงเลือก Sunlight เป็นหลักคะ?,,th,2025-12-12T19:01:59.783917
96,P4,4,Respondent,ก็รู้จักมาตั้งแต่เด็กอะค่ะ เห็นแม่ใช้ แล้วกลิ่นมันหอมดี ล้างแล้วรู้สึกสะอาด ฟองไม่เยอะเกินไป,,th,2025-12-12T19:01:59.783917
97,P4,5,Interviewer,เคยลองแบรนด์อื่นไหมคะ เช่น LiponF หรือยี่ห้ออื่น ๆ ที่ราคาถูกกว่า?,,th,2025-12-12T19:02:08.468794
98,P4,6,Respondent,เคยลอง LiponF อยู่ช่วงนึงค่ะ แต่รู้สึกว่ากลิ่นแรงกว่า Sunlight นิดนึง แล้วฟองเยอะกว่าด้วย ต้องล้างน้ำนานกว่า,,th,2025-12-12T19:02:08.468794
99,P4,7,Interviewer,แล้วเวลาซื้อ คุณดูอะไรเป็นหลักคะ?,,th,2025-12-12T19:02:17.118627
100,P4,8,Respondent,ราคากับขนาดขวดค่ะ เพราะอยู่หอ พื้นที่มันเล็ก ถ้าขวดใหญ่เกินก็วางลำบาก แล้วก็ชอบแบบหัวปั๊ม เพราะใช้สะดวก,,th,2025-12-12T19:02:17.118627
101,P4,9,Interviewer,แล้วมีความต่างไหมระหว่างซื้อตามร้านกับซื้อตามออนไลน์?,,th,2025-12-12T19:02:24.214159
102,P4,10,Respondent,ออนไลน์จะถูกกว่าเยอะเลยค่ะ ซื้อพวกแพ็กรีฟิลมาแบ่งกันใช้กับเพื่อนในห้อง,,th,2025-12-12T19:02:24.214159
103,P4,11,Interviewer,ถ้าต้องเลือกระหว่าง “สูตรล้างมันดีมาก” กับ “สูตรกลิ่นหอมมาก” จะเลือกอะไรคะ?,,th,2025-12-12T19:02:31.561976
104,P4,12,Respondent,กลิ่นหอมค่ะ (หัวเราะ) เพราะส่วนใหญ่ที่ล้างก็พวกชามแก้ว ช้อนส้อม ไม่มันขนาดนั้น,,th,2025-12-12T19:02:31.561976
105,P4,13,Interviewer,แล้วเคยมีปัญหามือแห้งหรือแสบหลังล้างไหมคะ?,,th,2025-12-12T19:02:39.439091
106,P4,14,Respondent,มีบ้างค่ะ บางวันล้างหลายรอบ ถ้าใช้ของที่แรงไปจะตึงมือ เลยชอบสูตรที่เขียนว่า gentle หรือมี aloe vera,,th,2025-12-12T19:02:39.439091
107,P4,15,Interviewer,แล้วรู้สึกยังไงกับแบรนด์ LiponF บ้างคะ?,,th,2025-12-12T19:02:46.586464
108,P4,16,Respondent,มันดูเป็นของบ้าน ๆ หน่อย เหมาะกับคนที่ล้างเยอะ ๆ แบบบ้านมีครอบครัว ส่วน Sunlight ดูวัยรุ่นกว่า,,th,2025-12-12T19:02:46.586464
109,P4,17,Interviewer,แล้วคิดว่าภาพจำของ Sunlight สำหรับคุณคืออะไรคะ?,,th,2025-12-12T19:02:54.716297
110,P4,18,Respondent,สีเหลือง สดใส กลิ่นเลมอน แล้วก็แบบล้างง่าย มือไม่แห้ง,,th,2025-12-12T19:02:54.716297
111,P4,19,Interviewer,ถ้ามีแบรนด์ใหม่ที่ออกสูตร eco-friendly หรือเป็นมิตรต่อสิ่งแวดล้อม คุณสนใจไหมคะ?,,th,2025-12-12T19:03:02.142503
112,P4,20,Respondent,สนใจนะคะ ถ้าไม่แพงมาก อยากลองเพราะรู้สึกดีกับสิ่งแวดล้อมด้วย แต่ราคาต้องไม่ต่างเยอะ,,th,2025-12-12T19:03:02.142503
113,P4,21,Interviewer,แล้วเวลาเห็นคำว่า “ล้างออกง่าย” คุณตีความว่าอะไรคะ?,,th,2025-12-12T19:03:08.377929
114,P4,22,Respondent,หมายถึงไม่ต้องล้างน้ำนาน ฟองหมดไว แล้วจานไม่ลื่น ๆ หลังล้าง,,th,2025-12-12T19:03:08.377929
115,P4,23,Interviewer,ถ้าคุณต้องออกแบบน้ำยาล้างจานของตัวเองได้ อยากให้เป็นแบบไหนคะ?,,th,2025-12-12T19:03:13.852633
116,P4,24,Respondent,กลิ่นหอมอ่อน ๆ ใช้แล้วมือไม่แห้ง ขวดสวย และราคานักศึกษาซื้อได้ (หัวเราะ),,th,2025-12-12T19:03:13.852633
117,P4,25,Interviewer,ถ้ามีแบรนด์ที่คุณไม่เคยใช้มาก่อน แต่โฆษณาว่า “ใช้แล้วมือไม่แห้ง 100%” คุณจะลองไหม?,,th,2025-12-12T19:03:25.935655
118,P4,26,Respondent,ลองค่ะ แต่ต้องมีรีวิวเยอะก่อน ถ้าใน Shopee คะแนนต่ำจะไม่ซื้อ,,th,2025-12-12T19:03:25.935655
119,P4,27,Interviewer,ถ้ามีโปร 1 แถม 1 ระหว่าง Sunlight กับ LiponF คุณเลือกอะไรคะ?,,th,2025-12-12T19:03:32.922490
